,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price,price_cat,rating_cat
306,Acer,Aspire 5 15,Core i5 13th Gen 1335U,16,512.0,4.4,3.0,DDR5,16.0,1.0,55990,medium,good
307,Lenovo,Intel Core i5,Core i5 13th Gen 1355U,16,512.0,4.2,13.0,DDR5,16.0,1.0,55990,medium,good
308,Lenovo,IdeaPad Slim 5i,Core i5 11th Gen 1135G7,16,512.0,4.4,60.0,DDR4,16.0,1.0,56199,medium,good
309,ASUS,Intel Core i5,Intel Core i5 11th Gen,8,512.0,4.2,13.0,DDR4,17.0,1.0,56499,medium,good
310,DELL,Vostro AMD Ryzen,Ryzen 5 Hexa Core 5625U,16,512.0,4.5,60.0,DDR4,14.0,1.0,56590,medium,good
311,HP,Victus AMD Ryzen,Ryzen 5 Hexa Core 5600H,8,512.0,4.700000000000001,60.0,DDR4,16.0,1.0,56939,medium,excellent
312,ASUS,Vivobook 15 AMD Ryzen,Ryzen 7 Octa Core 5800HS,16,512.0,4.2,108.0,DDR4,16.0,1.0,56990,medium,good
313,SAMSUNG,Galaxy Book2 Intel,Core i5 12th Gen 1235U,8,256.0,4.5,31.0,DDR4X,16.0,1.0,56990,medium,good
314,ASUS,Vivobook Pro 15,Ryzen 5 Hexa Core 5600HS,16,512.0,3.9,1.0,DDR4,16.0,1.0,56999,medium,average
315,HP,Victus Intel Core,Core i5 12th Gen 12450H,8,512.0,4.2,4.0,DDR4,16.0,1.0,57490,medium,good
316,ASUS,VivoBook 16X AMD,Ryzen 7 Octa Core 5800HS,16,512.0,4.4,12.0,DDR4,16.0,1.0,57790,medium,good
317,Lenovo,Intel Core i7,Core i7 12th Gen 1255U,16,512.0,4.2,44.0,DDR4,16.0,1.0,57990,medium,good
318,HP,Pavilion AMD Ryzen,Ryzen 5 Hexa Core 5500U,16,1000.0,4.3,60.0,DDR4,16.0,1.0,57990,medium,good
319,HP,14s Intel Core,Core i5 11th Gen 1135G7,8,512.0,4.2,25.0,DDR4,14.0,1.0,57990,medium,good
320,HP,Pavilion x360 Intel,Core i3 12th Gen 1215U,8,512.0,4.3,1.0,DDR4,16.0,1.0,57990,medium,good
321,Infinix,INBook X2 Plus Intel,Core i7 11th Gen 1195G7,16,512.0,4.0,17.0,DDR4X,16.0,1.0,57990,medium,average
322,ASUS,TUF Gaming F15,Core i5 10th Gen 10300H,16,512.0,4.6,60.0,DDR4,16.0,1.0,57999,medium,excellent
323,HP,Victus Intel Core,Core i5 11th Gen 11400H,16,512.0,4.3,4.0,DDR4,16.0,1.0,57999,medium,good
324,HP,Victus Intel Core,Core i5 12th Gen 12450H,8,512.0,4.3,37.0,DDR4,16.0,1.0,58990,medium,good
325,MSI,GF63 Intel Core,Core i5 11th Gen 11260H,16,512.0,4.2,19.0,DDR4,16.0,2.0,58990,medium,good
326,ASUS,Vivobook S 14,Ryzen 5 Hexa Core 5600HS,8,512.0,4.4,46.0,DDR4,14.0,1.0,58990,medium,good
327,Lenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512.0,4.3,60.0,DDR5,16.0,1.0,59390,medium,good
328,Lenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512.0,4.3,60.0,DDR5,16.0,1.0,59390,medium,good
329,DELL,Inspiron Intel Core,Core i5 13th Gen 1335U,8,512.0,3.9,2.0,DDR5,14.0,2.0,59450,medium,average
330,HP,Victus AMD Ryzen,Ryzen 5 Hexa Core 5600H,16,512.0,4.2,3.0,DDR4,16.0,1.0,59490,medium,good
331,ASUS,Pro P5 Intel Core,Core i7 8th Gen 8565U,8,1000.0,4.2,13.0,DDR4,14.0,1.0,59699,medium,good
332,ASUS,Intel Core i5,Core i5 13th Gen 1335U,16,512.0,3.9,1.0,DDR4,16.0,1.0,59990,medium,average
