,brand,model,processor,ram,memory,ratings,reviews,ram_version,display_inch,warranty,price
781,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
782,ASUS,ROG Strix G15,Ryzen 7 Octa Core 6800HS,16,512,4.3577 ,57,DDR5,15.6,1,77990
783,ASUS,Vivobook 16X Intel,Core i5 12th Gen 12500H,8,512,,,DDR4,16,1,69990
784,Lenovo,AMD Ryzen 5,,8,512,,,DDR4,15.6,1,50100
785,HP,15s (2023,Core i5 13th Gen 1335U,8,512,4.2306 ,33,DDR4,15.6,1,59990
786,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
787,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,15.6,1,22990
788,Lenovo,Yoga Slim 7,Core i7 13th Gen 1360P,16,1,,,DDR5,13.3,1,129889
789,SAMSUNG,Galaxy Book4 360,Evo Intel Core 7 150U,16,512,,2,DDR5,15.6,0211,122990
790,ASUS,VivoBook Gaming Intel,Core i5 9th Gen 9300H,8,1,4.3120 ,26,DDR4,15.6,1,72500
791,MSI,Prestige 14 Intel Core,Core i7 10th Gen 10510U,16,512,3.9103 ,14,DDR4,14,1,66047
792,HP,Pavilion AMD Ryzen,Ryzen 5 Hexa Core 5625U,8,512,"4.42,009 ",215,DDR4,15.6,1,51990
793,HP,15s Intel Core,Core i9 11th Gen 11900H,32,1,,,DDR4,15.6,1,189400
794,Acer,Aspire 5 Intel,Core i5 11th Gen 1135G7,8,1,3.7346 ,35,DDR4,14,1,37990
795,Lenovo,THINKBOOK AMD Ryzen,Ryzen 7 Octa Core 7730U,16,512,4.336 ,3,DDR4,16,1,48490
796,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
797,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
798,ASUS,Zenbook Pro 14,Core i5 13th Gen 13500H,16,,,,DDR5,14.5,1,199990
799,ASUS,Intel Core i5,Intel Core i5 11th Gen,8,512,,,DDR4,17,1,56499
800,SponsoredAXL,Intel Celeron Dual,Celeron Dual Core 9th Gen,4,256,4.234 ,3,DDR4,15.6,1,16990
801,Acer,AMD Ryzen 5,AMD Ryzen 5 Quad Core,8,512,,,DDR5,15.6,1,31690
802,ASUS,Zenbook 14 OLED (2023,Ryzen 5 Hexa Core 7530U,16,512,4.640 ,3,DDR4X,14,1,79990
803,ASUS,Vivobook 15 Intel Core,Core i3 11th Gen 1115G4,8,256,4.4218 ,22,DDR4,15.6,1,31992
804,Lenovo,V14 Intel Core,Intel Core i5 11th Gen,8,512,,,DDR4,14,1,45990
805,HP,Intel Core i7,Intel Core i7 12th Gen,16,1,4.79 ,1,DDR4,15.6,,91200
806,HP,Laptop 15s Intel,Dual Core Intel Celeron N4500,8,512,3.880 ,10,DDR4,15.6,1,29490
807,Lenovo,Lenovo Legion Slim,Ryzen 7 Octa Core 7840HS,16,512,,0,DDR5,16,1,128990
808,HP,14s (2023,Core i3 11th Gen 1115G4,8,512,4.4251 ,17,DDR4,14,1,43990
809,Acer,TravelMate P2 Intel Core,Core i7 11th Gen 1165G7,16,512,3.6154 ,33,DDR4,14,1,49990
810,Lenovo,IdeaPad Flex 5,Ryzen 5 Hexa Core 5500U,8,512,4.659 ,13,DDR4,14,0191,79000
811,ASUS,AMD Ryzen 7,7 Octa Core 10th Gen,16,512,,,DDR4,15.6,1,73950
812,Acer,One 11 Intel Celeron,Intel Celeron Dual Core N4500,8,128,3.3148 ,22,DDR4,11.6,1,19982
813,HP,14a Intel Celeron,Intel Celeron Dual Core N4500,4,64,3.7993 ,116,DDR4,14,1,25900
814,Infinix,INBook Y1 Plus Intel,Core i3 10th Gen 1005G1,8,512,"4.24,423 ",547,DDR4X,,1,28990
815,Acer,Nitro 5 Intel,Core i5 12th Gen 12450H,16,512,4.4614 ,65,DDR4,15.6,1,71999
816,SponsoredLenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512,4.318 ,0,DDR5,15.6,1,59390
817,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
818,ASUS,VivoBook 14 (2021,Intel Celeron Dual Core N4020,4,256,"4.13,085 ",321,DDR4,14,1,25990
819,ASUS,Vivobook 14 (2023,Core i3 13th Gen 1315U,8,512,4.1110 ,15,DDR4,14,1,42990
820,SponsoredLenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512,4.2103 ,12,DDR5,14,1,60190
821,SponsoredCHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256,3.7327 ,54,DDR4,15.6,1,18990
822,Acer,Aspire 7 (2023,Core i5 12th Gen 12450H,16,512,"4.21,540 ",149,DDR4,15.6,1,55490
823,MSI,Pulse 17 Intel Core,Core i7 13th Gen 13700H,16,1,4.76 ,0,DDR5,17.3,2,169990
824,MICROSOFT,Laptop Go 3 Intel,Core i5 12th Gen 1235U,8,256,3.86 ,1,DDR5,12.4,1,79990
825,DELL,Inspiron AMD Ryzen,,8,512,4.524 ,1,DDR4,14,0211,67690
826,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,14.1,1,18990
827,SponsoredLenovo,IdeaPad Flex 5,Core i5 13th Gen 1335U,16,512,4.621 ,8,DDR4X,14,1,77190
828,MSI,Cyborg 15 AI Intel,Intel Core Ultra 7 155H,16,1,,,DDR5,15.6,2,114990
829,ASUS,Vivobook Pro 15,Core AMD Ryzen 5 5600H,16,512,,,DDR4,15.6,1,69899
830,SponsoredAXL,Intel Celeron Dual,SponsoredAXL Intel Celeron Dual Core,4,256,3.521 ,0,DDR4,15.6,1,16990
831,SponsoredCHUWI,Intel Celeron Quad,Quad Core 12th Gen N100,8,256,,15,DDR5,15.6,1,22990
832,Infinix,Y4 Max Series,Core i3 13th Gen 1315U,16,512,4.445 ,10,DDR4X,16,1,36990
833,WINGS,Nuvobook S1 Aluminium Alloy,Core i3 11th Gen 1125G4,8,256,4.2608 ,114,DDR4,15.6,1,23990
834,HP,OMEN Intel Core,Core i7 11th Gen 11800H,16,1,4.110 ,2,DDR4,16.1,1,117900
835,DELL,Inspiron Intel Core,Core i5 13th Gen 13450HX,8,512,,,DDR5,15.6,1,74990
836,WINGS,Nuvobook S2 Aluminium Alloy,Core i3 11th Gen 1125G4,8,512,4.2608 ,114,DDR4,15.6,1,24990
837,Apple,MacBook Air Apple,Apple MacBook Air Apple M3,8,512,4.923 ,4,,15,1,145490
838,DELL,Intel Core i3,Intel Core i3 13th Gen,8,512,4.85 ,2,DDR4,15.6,1,45000
839,Infinix,Y4 Max Series,Core i3 13th Gen 1315U,16,512,4.429 ,11,DDR4X,16,1,36990
840,SponsoredLenovo,IdeaPad Slim 3,Core i5 13th Gen 13420H,16,512,4.318 ,0,DDR5,15.6,1,59390
841,SponsoredLenovo,IdeaPad Slim 5,Core i5 13th Gen 13500H,16,512,4.2248 ,37,DDR5,16,,71990
842,Acer,Aspire 5 15,Core i5 13th Gen 1335U,16,512,4.427 ,3,DDR5,15.6,1,55990
843,WINGS,Nuvobook S1 Aluminium Alloy,Core i3 11th Gen 1125G4,8,256,4.2608 ,114,DDR4,15.6,1,23990
844,Acer,Swift Go 14,Ryzen 5 Hexa Core 7530U,8,512,4.226 ,1,DDR4X,14,1,49990
845,Lenovo,V15 AMD Ryzen,Ryzen 3 Quad Core 7320U,8,512,4.145 ,8,DDR5,15.6,1,29990
846,SponsoredLenovo,IdeaPad Slim 5,Core i5 12th Gen 12450H,16,512,4.2103 ,12,DDR5,14,1,60190
847,SponsoredCHUWI,Intel Celeron Dual,Dual Core 11th Gen N4020,8,256,3.7327 ,54,DDR4,15.6,1,18990
848,Lenovo,LOQ Intel Core,Core i5 12th Gen 12450H,16,512,4.4519 ,68,DDR5,15.6,0211,79990
